link,make again,name,rating,summary,tag
/recipes-menus/5-summer-salads-that-can-be-made-ahead-of-time-recipes-article,,5 Summer Salads That Get Better Overnight,,Not every salad needs to be eaten the day it's made.,article
/recipes-menus/the-easiest-most-impressive-way-to-use-cucumbers-article,,Your New Go-To Cucumber Dish,,You know that cold cucumber dish you've marveled at in Chinese restaurants? It's shockingly easy to make at home.,article
/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds,100%,Cucumber and Raisin Relish With Mustard Seeds,4,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",recipe
/expert-advice/how-to-raise-ducks-for-a-vegetable-garden-article,,Transform Your Vegetable Garden With This One Simple Quack,,An ode to the backyard duck.,article
/expert-advice/3-ingredient-summer-appetizer-recipes-article,,41 Three-Ingredient Summer Appetizers,,Summer snacking doesn't need to be an elaborate affair—try these ideas for easy appetizers with three ingredients or fewer.,article
/recipes/food/views/fresh-dill-cucumbers-with-lemon,0%,Fresh Dill Cucumbers with Lemon,0,Fresh Dill Cucumbers with Lemon,recipe
/expert-advice/how-to-preserve-summer-vegetables-fruits-without-canning-article,,How to Preserve Summer's Bounty—No Canning Required,,You don't need to do the whole hot-water bath thing if you want to preserve fruits and vegetables. Here are 3 alternative methods.,article
/holidays-events/mothers-day-weekend-brunch-dinner-meal-plan-menu-article,,What to Cook This Weekend: Pssst....It's Mother's Day,,"Feel free to get lost in hazy spring days with these easy, delicious dishes. But when Sunday rolls around, don't forget about your mama.",article
/recipes-menus/moroccan-chermoula-grilled-steak-salad-sauce-marinade-article,,What Makes This Steak Salad So Addictive? The Secret's In the Sauce.,,It's a marinade. It's a dressing. Is there anything this vibrant green sauce can't do?,article
/expert-advice/how-to-build-a-meal-around-a-ball-of-fresh-mozzarella-article,,How to Build a Meal Around a Ball of Mozzarella,,"The fresh, creamy cheese can be turned into so many satisfying, uncomplicated summer meals.",article
/expert-advice/how-to-make-shaved-avocado-mango-chocolate-article,,The Simple Tool That Makes Food Look Amazing ,,It can shave. It can ribbon. It can curl. It can zest. It can get you at least a hundred new Instagram followers.,article
/recipes-menus/what-to-cook-this-weekend-march-early-spring-vegetables-article,,The Early-Spring Recipes You Need This Weekend,,Put away your soup pots and slow cookers and kick off the new season this weekend.,article
/expert-advice/the-best-and-worst-produce-to-buy-organic-article,,The Best (and Worst) Produce to Buy Organic ,,Why it might not pay to buy organic mangoes—and why those cheap strawberries might be a bad idea.,article
/ingredients/ultimate-guide-to-buying-pickles-article,,How to Navigate the Pickle Aisle,,Everything you need to know when buying pickles.,article
/expert-advice/netcost-best-grocery-store-in-america-article,,The Best Grocery Store in America Is Net Cost,,"It's not grim Communist bread lines. It's not Putin-era luxury. It's a wonderland of salt, smoke, and fat.",article
/expert-advice/on-mom-cooking-and-why-we-should-not-knock-it-article,,"Why I Won’t Be Shamed for Cooking “Mom Recipes""",,Getting dinner on the table night after night is no easy feat. So let's not shame parents who sometimes need to take a shortcut or two.,article
/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119,100%,Crispy Pork Lettuce Wraps,4,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",recipe
/expert-advice/how-to-pack-a-no-wilt-salad-article,,The Ultimate No-Wilt Lunch Salad,,Skip the sad spring mix and follow these tips instead.,article
/expert-advice/how-to-make-grain-noodle-bowls-lukas-volger-article,,How to Become a Pro Bowler,,Bowl food doesn't get beautiful (and nutritious) (and filling) automatically—it takes a plan. And there's nobody better to get that plan from than the guy who literally wrote the book on the subject.,article
/ingredients/16-ways-to-cook-with-chile-oil-article,,16 Ways to Cook With Chile Oil,,"Whether homemade or store-bought, chile oil will add a welcome hit of heat and flavor to almost anything you cook.",article
/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995,0%,Miso-Cured Black Cod with Chilled Cucumbers,1,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,recipe
/recipes-menus/easter-easy-holiday-sandwich-lunch-buffet-article,,Make a Springtime Sandwich Lunch Buffet for Easter,,"Easter doesn't have to mean salty ham or long-cooking lamb. Freshen things up with this fun, fresh sandwich spread that's perfect for a holiday crowd.",article
